prediction,actual,diff,predSCore,actScore
1998,2005,7,456775.6389870376,0.0
1997,2007,10,237138.24000665406,0.0
1997,2009,12,314884.7354430946,0.0
1997,1996,1,204745.54870538617,0.0
1998,1988,10,309777.4637889091,0.0
1997,1984,13,273512.0455954857,0.0
1997,2004,7,461960.59207516327,0.0
1997,1994,3,520621.5358393952,0.0
1998,1999,1,864346.5105582224,231014.20884637136
1997,1989,8,569074.0396902241,0.0
1997,2003,6,244543.1616055725,0.0
1998,2014,16,157383.94883117586,0.0
1997,1995,2,1535157.462091855,0.0
1997,1997,0,445148.2033536492,445148.2033536492
1997,1992,5,587361.9871074128,0.0
1998,2014,16,566711.1235792881,0.0
1997,2012,15,562607.7188046245,0.0
1998,2007,9,486592.46954950306,0.0
1980,1985,5,0.0,0.0
1997,2010,13,562391.4230871534,0.0
1997,2009,12,374345.1554138789,0.0
1997,2003,6,1148728.3676777822,0.0
1980,1989,9,0.0,0.0
1980,1999,19,0.0,0.0
1997,1986,11,162816.06053181752,0.0
1997,1991,6,227430.640204308,0.0
1997,1998,1,408745.23067589256,237557.15737496177
1997,2009,12,628376.9278529072,0.0
1997,2003,6,435062.9654700757,0.0
1997,2008,11,492307.17213596054,0.0
1997,1997,0,658029.8487298961,658029.8487298961
1997,1999,2,711394.7815852881,152403.399137362
1997,1997,0,571944.6433632936,571944.6433632936
1997,1996,1,830188.584411723,0.0
1998,2011,13,558699.4046254125,0.0
1997,2012,15,176854.31611291674,0.0
1997,2012,15,266725.43781249865,0.0
1997,2011,14,729235.1783626361,0.0
1997,1997,0,94934.46667298976,94934.46667298976
1997,2002,5,574854.1160461461,0.0
1997,2008,11,427710.789832734,0.0
1997,2008,11,369488.31988118147,0.0
1998,2014,16,689604.8225582665,0.0
1997,1988,9,294546.84559835104,0.0
1997,1982,15,216100.07737752018,0.0
1997,2004,7,285363.8031378642,0.0
1997,1981,16,605212.2828334501,0.0
1998,1984,14,19673.298311882023,0.0
1997,2004,7,1076126.0868581405,0.0
1998,1993,5,207496.80632503342,0.0
1998,2007,9,775576.841274225,0.0
1997,1991,6,275466.17853295134,0.0
1998,1991,7,250673.3470511297,0.0
1997,1992,5,522756.39559901354,0.0
1997,1986,11,211992.49973810805,0.0
1997,1990,7,258379.13191646343,0.0
1997,1984,13,269213.7829725968,0.0
1997,1984,13,222347.3149168889,0.0
1997,1995,2,177381.15740719833,0.0
1997,1990,7,530223.7516588166,0.0
1997,1986,11,23358.449834193663,0.0
1997,1981,16,126488.2860414231,0.0
1997,2008,11,282592.3179851618,0.0
1997,1986,11,997894.4533347021,0.0
1997,1986,11,997894.4533347021,0.0
1997,2011,14,375373.0445389537,0.0
1997,1981,16,527117.585689076,0.0
1997,2002,5,262940.6148713795,0.0
1997,1990,7,240150.5885847821,0.0
1997,1984,13,740697.0064683788,0.0
1997,2010,13,295453.05234695965,0.0
1997,1998,1,331693.7248020632,199546.93003834834
1997,1989,8,290356.3472243419,0.0
1997,2001,4,526255.4870178457,0.0
1998,1986,12,222883.72533881848,0.0
1997,1982,15,350446.95311301487,0.0
1997,1980,17,233874.51911172253,0.0
1997,1986,11,536219.6350684634,0.0
1997,2008,11,554014.5927422779,0.0
1997,2002,5,337591.03477962525,0.0
1997,2002,5,337983.36717167817,0.0
1997,1999,2,278574.75220615853,24894.25580080233
1997,1982,15,539980.7919961276,0.0
1997,1988,9,621139.9080750961,0.0
1997,1988,9,621139.9080750961,0.0
1997,1982,15,1034014.5011752956,0.0
