@relation allSongsAllFieldsRankClassWithDate

@attribute IS_EXPLICIT {TRUE, FALSE}
@attribute WEEK date "yyyy-MM-dd"
@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK_CLASS {1-10, 11-20, 21-30, 31-40, 41-50}

@data
FALSE,"2002-05-18",270,72,9,3,1-10
FALSE,"2012-02-25",172,75,8,3,31-40
FALSE,"1985-07-13",185,82,15,4,1-10
FALSE,"1993-03-06",207,122,13,4,1-10
FALSE,"2012-04-07",337,166,11,3,31-40
FALSE,"1981-06-20",315,128,9,4,1-10
TRUE,"2002-02-09",400,118,8,3,1-10
FALSE,"1988-11-12",333,108,11,3,11-20
FALSE,"2010-09-25",290,110,13,4,31-40
TRUE,"1993-07-17",360,132,9,3,41-50
FALSE,"2001-10-20",530,113,11,3,21-30
TRUE,"1997-01-11",710,275,13,3,31-40
FALSE,"2000-09-16",733,237,10,3,31-40
FALSE,"1982-02-20",242,88,10,4,21-30
TRUE,"2014-11-08",550,248,12,3,41-50
FALSE,"2006-08-26",589,171,12,4,31-40
FALSE,"2009-01-17",286,86,10,3,41-50
FALSE,"1982-09-04",245,90,17,4,1-10
TRUE,"2000-07-22",397,110,11,3,1-10
FALSE,"2004-08-21",300,116,12,4,31-40
FALSE,"2010-03-06",312,103,12,4,11-20
FALSE,"1992-07-18",277,95,10,3,1-10
FALSE,"1990-08-18",317,135,9,4,11-20
FALSE,"2005-03-05",173,82,10,4,21-30
TRUE,"2003-07-12",790,323,13,3,31-40
FALSE,"1994-08-20",314,141,12,3,41-50
FALSE,"1992-01-11",365,148,10,4,1-10
FALSE,"2008-11-22",327,79,9,4,11-20
TRUE,"2003-08-09",246,77,12,3,41-50
FALSE,"1986-05-03",490,89,11,4,1-10
TRUE,"2002-06-08",436,182,13,4,1-10
FALSE,"1998-08-22",226,94,9,3,1-10
FALSE,"2014-03-01",125,69,10,3,21-30
FALSE,"2012-11-24",265,95,12,3,11-20
FALSE,"1984-04-07",336,144,13,4,1-10
FALSE,"1983-06-18",309,97,10,3,1-10
FALSE,"2014-07-05",412,147,10,3,31-40
FALSE,"1983-02-05",268,110,12,4,1-10
FALSE,"1989-05-13",290,94,10,3,1-10
FALSE,"1983-01-29",300,101,10,3,41-50
FALSE,"2001-03-24",398,109,9,3,41-50
FALSE,"1983-08-27",225,90,10,3,21-30
FALSE,"1985-11-02",312,101,10,4,41-50
FALSE,"1982-07-03",216,85,10,4,31-40
FALSE,"1991-02-02",266,91,9,3,1-10
FALSE,"1991-09-28",200,86,9,4,41-50
FALSE,"2005-05-14",701,107,10,3,41-50
TRUE,"2015-08-29",694,148,10,3,31-40
FALSE,"1993-12-11",222,105,10,3,1-10
FALSE,"2001-02-17",304,73,9,3,1-10
FALSE,"1992-03-21",187,70,10,5,31-40
FALSE,"1984-04-21",262,92,8,3,1-10
TRUE,"1980-06-14",345,143,11,4,1-10
FALSE,"1981-02-28",214,84,8,3,21-30
FALSE,"1981-05-30",556,97,10,3,21-30
TRUE,"1992-04-25",359,169,12,3,1-10
FALSE,"2010-05-08",258,91,10,3,41-50
FALSE,"1981-05-09",166,80,11,3,11-20
TRUE,"2009-03-28",628,209,11,3,41-50
FALSE,"2014-05-24",230,85,9,3,1-10
FALSE,"2002-03-09",712,156,12,4,1-10
TRUE,"1996-06-15",832,349,11,3,41-50
TRUE,"2006-07-15",464,134,10,3,1-10
FALSE,"2009-06-06",110,37,8,4,31-40
TRUE,"1997-01-18",383,226,12,4,41-50
FALSE,"1983-12-03",242,127,12,3,21-30
FALSE,"1986-09-27",433,94,16,3,41-50
FALSE,"2001-06-09",325,99,10,3,21-30
TRUE,"1995-11-04",738,245,15,4,31-40
TRUE,"2015-04-04",263,100,11,3,41-50
TRUE,"2003-01-04",905,333,10,3,1-10
TRUE,"2010-06-05",503,155,11,3,1-10
FALSE,"2005-09-03",276,115,12,4,21-30
FALSE,"2010-06-05",363,93,15,4,1-10
FALSE,"1984-08-11",308,89,10,4,21-30
FALSE,"1981-10-24",158,63,8,4,21-30
FALSE,"2013-05-18",186,111,12,4,31-40
FALSE,"2002-01-05",306,85,10,3,41-50
FALSE,"1985-12-28",310,94,8,3,1-10
FALSE,"1992-01-25",426,112,10,3,1-10
FALSE,"1993-12-18",295,143,10,4,21-30
TRUE,"2014-09-20",440,109,13,4,1-10
FALSE,"2010-08-28",287,129,11,4,31-40
FALSE,"2008-06-28",228,86,12,4,31-40
FALSE,"2012-06-23",255,116,17,4,21-30
FALSE,"1990-04-07",449,84,10,3,1-10
TRUE,"2013-11-30",189,90,12,3,41-50
FALSE,"1997-04-05",143,50,9,4,1-10
FALSE,"1997-11-22",273,119,10,3,1-10
FALSE,"1986-10-25",237,113,9,3,1-10
TRUE,"2015-03-21",690,246,12,4,11-20
TRUE,"2015-08-15",533,159,11,3,21-30
TRUE,"2004-05-22",591,245,10,3,1-10
FALSE,"1988-08-27",334,76,11,4,11-20
FALSE,"1994-01-22",344,99,10,3,1-10
FALSE,"2001-04-14",458,124,13,3,1-10
FALSE,"1997-08-30",362,77,9,3,11-20
TRUE,"2013-02-16",310,144,10,4,31-40
TRUE,"1998-03-14",671,146,11,3,41-50
FALSE,"1990-08-18",270,70,8,3,41-50
TRUE,"2010-07-24",665,218,12,3,21-30
FALSE,"2003-02-08",657,185,12,3,1-10
FALSE,"1999-02-06",411,109,10,3,1-10
FALSE,"1985-01-12",221,91,7,3,1-10
FALSE,"1986-06-07",346,87,9,3,1-10
FALSE,"1991-11-23",235,75,13,3,41-50
FALSE,"1994-10-08",458,171,11,3,1-10
FALSE,"1990-05-26",371,141,18,3,1-10
TRUE,"1997-09-06",364,80,10,3,31-40
FALSE,"1992-09-12",198,66,11,3,11-20
FALSE,"2013-01-05",325,107,10,3,21-30
FALSE,"2008-07-19",261,90,8,3,11-20
FALSE,"1987-01-17",185,44,7,3,11-20
FALSE,"1990-10-06",293,125,10,3,31-40
