Song,Actual,TF-IDF,TF-IDF Error,Custom,Custom Err, ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1985,2004,1999,5,2002,2, ,0,0,8.856803357,0,0,7.758475847,0,6.778358185,0,8.856803357,0,0,0,7.758475847,18.00922912,9.744806738,11.60852369,45.26298509,87.87506924,88.55780163,28.99460982,45.77267658,25.25787494,29.98646376,7.470936133,8.745466826,6.21959564,7.065755682,8.856803357,0,0,0,0,0,0,8.856803357
#1,2001,1998,3,1980,21, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.758475847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#Beautiful,2013,1998,15,1980,33, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.758475847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#SELFIE,2014,1998,16,1988,26, ,0,0,0,0,0,0,0,0,17.71360671,0,0,0,0,5.91492447,3.303134661,7.520422,25.13784575,29.79015425,91.6735951,44.15281488,53.20754682,34.73103469,34.14164082,19.10349574,7.173566145,29.45362765,6.0863485,8.856803357,0,0,0,7.065755682,0,7.758475847,0,0
#thatPOWER,2013,2004,9,1980,33, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.713838797,0,0,0,0,0,0,0,0,0,0,0
' 03 Bonnie & Clyde,2002,1998,4,2006,4, ,0,0,0,0,0,0,0,8.856803357,0,0,0,0,0,13.07319687,6.882560381,17.28638577,43.48762464,48.59116014,119.5446369,108.1360188,77.64968187,24.33807511,37.05927696,51.97568915,20.53905421,23.49555139,23.60315442,12.69328266,0,7.24793492,0,0,0,0,0,0
(God Must Have Spent) A Little More Time On You,1999,1998,1,1999,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.034549944,24.56392792,28.82238028,51.09579406,73.92763136,48.53191111,6.571535786,10.14330031,13.31080722,0,0,0,0,0,0,8.856803357,0,0,0,0,0,0
(Hot S**t) Country Grammar,2000,2002,2,2002,2, ,0,0,0,0,0,0,0,0,0,0,6.460331167,0,7.24793492,36.74693497,8.856803357,29.11798725,65.9200674,85.26384731,175.9096754,161.4439906,175.1260601,165.9725905,183.7276141,150.6849256,94.90666828,51.14208343,17.79886864,11.79154342,12.6731237,17.02060193,8.856803357,7.470936133,8.163798576,8.856803357,0,0
(I've Had) The Time Of My Life,2010,1998,12,2010,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,8.420782701,2.937315772,11.75182278,27.92270679,53.80872347,64.23369659,38.79936765,9.166594781,8.650630583,0,15.94728248,13.36051378,0,0,0,0,0,7.24793492,0,0,0,0,0
(It) Feels So Good,2011,1998,13,1989,22, ,0,0,0,0,0,0,0,0,0,8.856803357,0,0,0,8.163798576,0,6.489154087,16.84356993,38.17353513,61.00327221,38.34899845,23.80712887,14.73326506,17.59264139,9.977298576,13.46084615,8.856803357,0,0,0,0,0,0,0,0,0,0
