@relation lyrics383.small

@attribute song string
@attribute numWords numeric
@attribute distinctWRatio numeric
@attribute word_1 string
@attribute word_2 string
@attribute word_3 string
@attribute word_4 string
@attribute word_5 string
@attribute word_6 string
@attribute word_7 string
@attribute word_8 string
@attribute word_9 string
@attribute word_10 string
@attribute phrase2_1 string
@attribute phrase2_2 string
@attribute phrase2_3 string
@attribute phrase2_4 string
@attribute phrase2_5 string
@attribute phrase2_6 string
@attribute phrase2_7 string
@attribute phrase2_8 string
@attribute phrase2_9 string
@attribute phrase2_10 string
@attribute phrase3_1 string
@attribute phrase3_2 string
@attribute phrase3_3 string
@attribute phrase3_4 string
@attribute phrase3_5 string
@attribute phrase3_6 string
@attribute phrase3_7 string
@attribute phrase3_8 string
@attribute phrase3_9 string
@attribute phrase3_10 string
@attribute pos_verb numeric
@attribute pos_conj numeric
@attribute pos_adj numeric
@attribute pos_pronoun numeric
@attribute pos_number numeric
@attribute pos_noun numeric
@attribute pos_to numeric
@attribute pos_prep numeric
@attribute pos_adv numeric
@attribute pos_interj numeric
@attribute pos_other numeric
@attribute pos_foreign numeric
@attribute pos_wh numeric
@attribute narcScore numeric
@attribute period {early1980s,mid1980s,late1980s,early1990s,mid1990s,late1990s,early2000s,mid2000s,late2000s,early2010s,mid2010s}
@attribute rank {top10,top20,top30,top40,top50,notTop}

@data
"(If There Was) Any Other Way",294.0,0.35374149659863946,"to","way","i","you","there","any","other","don't","if","it","any other","other way","don't you","you think","if there","there was","was any","way love","i want","love don't","any other way","don't you think","if there was","there was any","was any other","other way love","way love don't","love don't you","you think i've","think i've tried",81,5,14,42,1,42,16,29,21,1,41,0,1,-3.238095238095238,early1990s,top40
"(It's Just) The Way That You Love Me",402.0,0.21641791044776118,"the","you","that","ain't","me","way","love","it","it's","just","that you","the way","way that","you love","love me","it ain't","it's just","just the","ain't the","ain't your","the way that","way that you","that you love","you love me","it's just the","just the way","it ain't the","it ain't your","the things that","honey i ain't",62,5,9,104,1,78,2,56,30,0,54,0,1,15.25,late1980s,top10
"(It) Feels So Good",276.0,0.3804347826086957,"yeah","good","so","you","the","it","and","do","i","feels","so good","it feels","feels so","yeah yeah","the way","little bit","good loving","loving you","you yeah","yeah it's","it feels so","feels so good","yeah yeah yeah","good loving you","loving you yeah","you yeah it's","yeah it's so","it's so good","so good the","good the way",41,18,25,38,2,60,2,25,18,5,38,0,4,0.7105263157894736,early2010s,top40
"(Just Like) Starting Over",229.0,0.3624454148471616,"over","we","and","love","like","starting","be","time","it's","together","starting over","over and","and over","we have","have grown","just like","like starting","over starting","darlin it's","like we","over and over","we have grown","and over and","like starting over","starting over starting","over starting over","it'll be just","be just like","just like starting","been too long",52,12,17,25,0,34,5,22,36,0,22,0,4,-16.32,early1980s,top10
"(Keep Feeling) Fascination",207.0,0.38164251207729466,"the","keep","feeling","fascination","so","on","and","to","hey","looking","keep feeling","feeling fascination","fascination passion","passion burning","burning love","love so","so strong","strong keep","fascination looking","looking learning","keep feeling fascination","feeling fascination passion","fascination passion burning","passion burning love","burning love so","love so strong","so strong keep","strong keep feeling","feeling fascination looking","fascination looking learning",64,8,19,1,0,52,6,25,9,0,22,0,1,0.0,early1980s,top10
"(Kissed You) Good Night",196.0,0.41836734693877553,"you","the","i","","kissed","have","should","and","me","turned","should have","kissed you","have kissed","good night","you should","i","turned off","through the","i should","you turned","should have kissed","i should have","you should have","have kissed you","should have pushed","up against the","against the wall","have kissed me","i turned","i turned off",38,6,10,37,0,39,4,21,9,0,30,1,1,5.108108108108108,early2010s,top40
"(Lay Your Head On My) Pillow",157.0,0.3184713375796178,"relax","and","lay","on","my","pillow","your","they","just","head","relax relax","on my","my pillow","head on","lay your","your head","pillow and","and just","just relax","they can","on my pillow","your head on","head on my","lay your head","my pillow and","pillow and just","and just relax","just relax relax","relax relax relax","they can always",24,9,8,29,0,39,1,13,17,1,15,0,1,3.6206896551724133,mid1990s,top40
"(Meet) The Flintstones",128.0,0.390625,"the","a","time","flintstones","dabba","of","have","doo","they're","with","have a","dabba doo","doo time","the flintstones","with the","yabba dabba","time we'll","we'll have","a gay","gay old","dabba doo time","time we'll have","we'll have a","have a gay","a gay old","gay old time","the modern stone","modern stone age","stone age family","age family from",11,0,8,2,1,53,0,15,10,0,26,0,2,0.0,mid1990s,top40
"(Oh) Pretty Woman",154.0,0.525974025974026,"pretty","woman","you","i","don't","be","me","as","yeah","the","pretty woman","woman don't","me? pretty","awhile pretty","yeah yeah","need you","woman i","don't walk","it must","must be","pretty woman don't","me? pretty woman","awhile pretty woman","pretty woman i","woman don't walk","it must be","street pretty woman","pretty woman the","woman the kind","the kind i'd",37,2,10,21,0,25,3,14,27,1,13,0,1,2.1428571428571432,early1980s,top20
"(Pride) In The Name Of Love",168.0,0.30357142857142855,"in","the","name","of","love","man","one","what","more","love?","in the","the name","name of","of love","one man","love what","what more","more in","of love?","love? in","in the name","the name of","name of love","of love what","love what more","what more in","more in the","name of love?","of love? in","love? in the",12,1,6,6,8,53,2,40,10,0,22,0,8,0.0,mid1980s,top40
