SONG,YEAR,VERBS,CONJUNCTION,ADJECTIVE,PRONOUN,NUMBER,NOUN,TO,PREPOSITION,ADVERB,INTERJECTION,OTHER,FOREIGN,INTERROGATIVE,SIMPLE NARC,COMPLEX NARC,,,
Act A Fool,2003,105,34,32,83,25,273,16,65,37,0,101,0,19,15,8.313253012,,,
Action,1994,42,9,25,31,2,126,1,29,12,1,35,0,1,5,2.096774194,,,
Addams Groove,1992,65,10,26,47,1,86,7,35,34,4,40,0,10,1,0.382978723,,,
Addicted,2008,59,3,6,69,0,46,14,38,24,4,50,0,14,11,5.579710145,,,
Addicted,2003,73,10,4,58,1,19,17,20,20,0,18,0,6,2,0.965517241,,,
Addicted To Love,1986,137,6,11,73,1,62,43,38,77,6,36,0,1,0,0,,,
Addictive,2002,80,22,30,85,2,97,5,42,28,0,36,0,9,21,8.647058824,,,
Adia,1998,62,7,12,53,0,22,9,21,18,0,20,0,2,-8,-11.01886792,,,
Adore You,2014,33,3,5,32,0,17,3,10,6,3,6,0,7,7,3.71875,,,
Adorn,2012,64,7,10,55,0,57,5,22,21,4,20,0,0,12,6.981818182,,,
Adult Education,1984,46,14,34,28,0,92,7,42,16,0,50,0,7,0,0,,,
Affair Of The Heart,1983,47,4,17,36,0,65,11,55,12,0,60,0,2,9,4.75,,,
Afire Love,2014,71,34,20,58,4,88,14,50,30,4,38,0,1,16,8.275862069,,,
Africa,1983,48,5,13,27,4,62,10,34,25,0,39,0,1,2,0.962962963,,,
After All,1989,63,15,6,48,8,35,15,31,30,0,32,0,7,8,3.666666667,,,
After I Cry Tonight,1983,58,4,29,51,0,71,5,25,32,1,23,0,1,12,4.941176471,,,
After Party,2001,120,6,9,72,0,82,1,52,13,0,38,0,5,0,0,,,
After The Fall,1983,52,8,9,33,0,34,3,17,42,3,24,0,0,3,1.545454545,,,
After The Fire,1985,55,20,11,7,0,91,1,27,33,0,66,0,1,1,0.142857143,,,
After The Glitter Fades,1982,43,5,9,13,3,49,6,27,28,3,27,0,3,0,0,,,
After The Rain,1991,53,9,9,30,0,49,8,27,34,0,46,0,1,3,1.6,,,
After The Summer's Gone,1991,45,3,10,25,0,43,1,30,15,0,24,0,4,-1,-1.52,,,
Again,2005,183,13,11,166,0,71,27,50,61,4,75,0,40,35,9.277108434,,,
Again,2015,179,9,23,187,0,125,27,67,13,0,49,0,15,22,12.35294118,,,
Again,1993,55,9,8,39,1,36,7,15,33,1,15,0,3,9,5.307692308,,,
Again,2001,70,6,3,68,0,44,1,42,41,0,22,0,7,3,1.764705882,,,
Again Tonight,1992,28,1,6,18,3,36,1,17,64,0,12,0,1,6,4,,,
Against All Odds (Take A Look At Me Now),1984,49,10,12,32,0,37,9,24,39,1,39,0,10,13,8.53125,,,
Against The Wind,1980,75,14,15,39,1,62,9,43,35,2,43,0,8,8,2.871794872,,,
Ah! Leah!,1981,55,5,7,34,0,41,4,6,43,0,16,0,3,-12,-18,,,
Ai No Corrida,1981,129,19,18,140,0,108,4,24,46,0,62,0,6,42,18.9,,,
Ain't 2 Proud 2 Beg,1992,69,10,34,49,33,69,1,36,21,0,30,0,7,6,1.469387755,,,
Ain't Back Yet,2010,63,17,10,38,2,39,1,21,32,0,30,0,5,3,0.394736842,,,
Ain't Even Done With The Night,1981,37,4,6,28,0,28,3,20,15,0,20,0,5,-1,-1.821428571,,,
Ain't I,2009,83,7,23,89,2,189,9,127,40,1,56,0,2,11,2.966292135,,,
Ain't It Fun,2014,45,2,18,38,2,39,6,33,13,1,24,0,9,-1,-1.657894737,,,
Ain't It Funny,2002,102,31,63,119,1,134,10,83,55,4,84,0,26,8,4.033613445,,,
Ain't No Nigga/Dead Presidents,1996,152,25,39,132,5,202,14,80,44,3,96,4,36,15,7.613636364,,,
Ain't No Other Man,2006,72,16,49,72,1,107,6,48,20,0,64,0,9,11,5.958333333,,,
Ain't No Sunshine,2009,26,1,2,17,0,18,2,12,14,0,11,0,7,0,0,,,
Ain't Nobody,1997,64,6,35,46,2,101,7,48,14,2,50,0,8,7,3.347826087,,,
Ain't Nobody,1983,54,8,11,48,1,45,3,16,20,4,28,0,4,11,4.583333333,,,
Ain't Nothin' Goin' On But The Rent,1986,71,11,25,59,0,128,14,66,13,0,39,0,7,18,10.6779661,,,
