Word,1st Year,Nth Year, Avg Year,Frequency,Standard Dev.
finally,1987,2010,1995,34,8.102287258763997
elemental,1991,1991,1991,14,0.0
stranger,1997,1998,1997,24,0.408248290463863
stoned,2013,2014,2013,22,0.674199862463242
blowin,2000,2000,2000,29,0.0
paid,1995,2014,2004,21,9.489342392790928
money,1987,2014,2001,183,9.399453536028373
spin,2000,2000,2000,29,0.0
ford,1993,1994,1993,11,0.5222329678670935
resists,1984,1985,1984,8,0.3535533905932738
emptier,2003,2004,2003,10,0.31622776601683794
walked,1989,1989,1989,14,0.0
signed,2011,2011,2011,21,0.0
stoney,1987,1987,1987,14,0.0
speak,1992,2014,2001,126,6.0592314458424275
rinks,2002,2003,2002,17,0.9074852129730301
frown,2000,2000,2000,29,0.0
should,1986,2014,2004,122,10.114913514698781
allright,1993,1994,1993,11,0.5222329678670935
point,1991,2003,1994,20,5.531726674375733
fleshlight,2009,2009,2009,1,0.0
pushin,2000,2000,2000,29,0.0
sundown,1995,1995,1995,11,0.0
attack,1993,1994,1993,11,0.5222329678670935
foot,1989,2014,2002,64,8.287792227125388
little,1983,2014,1999,162,10.57629541433852
show,1982,2014,2001,169,6.460164689127584
pack,2006,2011,2008,39,2.586949495507729
alive,1994,2007,1995,64,2.7386127875258306
fool,1993,2010,1998,31,7.280109889280518
shot,1984,2014,1997,29,12.278380214411637
though,1987,1997,1992,30,4.722287581247038
puts,2009,2009,2009,1,0.0
ahhhhpsyche,1993,1994,1993,11,0.5222329678670935
combat,1985,1985,1985,10,0.0
rings,1984,1995,1990,42,4.200340122282616
shoe,2014,2014,2014,10,0.0
247,2011,2011,2011,1,0.0
millionaire,1986,1986,1986,9,0.0
flintstones,1994,1994,1994,3,0.0
rough,1993,1995,1994,29,0.9468641529479986
fiend,1995,2011,2005,32,7.615773105863909
vowed,1997,1998,1997,20,0.5477225575051661
food,1995,1995,1995,11,0.0
plugged,2011,2012,2011,16,0.5590169943749475
yard,2012,2012,2012,10,0.0
fainted,2000,2000,2000,29,0.0
have,1980,2014,1998,380,8.84947218170309
dummies,1995,1995,1995,11,0.0
ass,1993,2012,2006,65,7.247280657120775
push,1996,2000,1999,38,1.7013926184468013
girl,1983,2014,2003,245,8.7877465709884
accidents,1989,1989,1989,14,0.0
deadlines,2012,2013,2012,16,0.9682458365518543
rappers,1993,1994,1993,11,0.5222329678670935
fresh,2004,2007,2005,55,1.1755076272905174
purp,2013,2014,2013,22,0.674199862463242
ottoman,2009,2009,2009,1,0.0
porno,1987,1987,1987,11,0.0
farrah,2002,2003,2002,17,0.9074852129730301
havin,1987,2000,1996,59,3.9013252854704192
ya,1991,2014,2003,244,6.284250415020754
lock,1987,2012,1999,46,9.31921810491398
walkin,1982,2003,1994,37,9.821377676245806
mackin,2000,2011,2004,50,5.4644304369257
loco,2012,2012,2012,8,0.0
george,2007,2007,2007,17,0.0
shakin,1985,1992,1989,26,3.1622776601683795
yo,1991,2012,2001,141,6.949156793586109
secret,1986,2009,1998,58,6.098332163174928
pushed,2009,2012,2011,11,1.1281521496355325
bunnies,2000,2000,2000,29,0.0
disappear,1989,2003,1998,33,6.60807586719967
supersonic,2004,2005,2004,38,0.8885233166386386
blackjacks,1986,1986,1986,9,0.0
occur,2002,2003,2002,22,0.7687061147858074
yi,1999,2000,1999,8,0.6123724356957945
competitors,1991,2014,1992,19,5.078333750770081
chance,1980,2003,1986,47,7.197812906591688
mashin,2002,2003,2002,22,0.7687061147858074
doesnt,1997,2014,2005,55,6.716330166771948
roll,1982,2014,1994,116,11.43044935310039
knock,1999,2012,2006,18,6.293735862833069
dripping,2014,2014,2014,1,0.0
role,1984,1984,1984,5,0.0
thoroughbred,2011,2011,2011,21,0.0
quicksand,2012,2012,2012,14,0.0
comin,1999,2014,2008,26,6.459935698655927
kickin,1991,1992,1991,18,0.816496580927726
bought,1986,2012,2001,23,12.715960528953879
right,1984,2014,2001,405,7.449749353642629
marie,1983,1983,1983,13,0.0
blooms,1997,1998,1997,20,0.5477225575051661
poppin,2010,2014,2012,27,1.6777409856157222
few,1996,1997,1996,16,0.6614378277661477
hits,1993,2014,2007,42,8.310922245541018
touch,2013,2014,2013,22,0.674199862463242
washed,1984,1985,1984,8,0.3535533905932738
enemies,2014,2014,2014,18,0.0
naughty,2013,2014,2013,22,0.674199862463242
justify,1984,1985,1984,8,0.3535533905932738
made,1983,2014,1997,92,10.100043047691301
rickys,1989,1989,1989,14,0.0
fantasy,1987,2010,1995,76,6.683640671937634
sicker,2014,2014,2014,10,0.0
eighty,2009,2010,2009,17,0.6416889479197478
conversation,1983,2012,1997,31,14.166065768407215
mention,2014,2014,2014,10,0.0
shrugs,2000,2000,2000,29,0.0
purified,1998,1999,1998,20,0.9486832980505138
cocktails,2010,2010,2010,9,0.0
sophisticated,2004,2005,2004,38,0.8885233166386386
classes,1987,1987,1987,11,0.0
purple,2012,2014,2012,36,1.2018504251546631
theyve,1985,1987,1986,24,1.0
enjoy,2011,2011,2011,21,0.0
comfy,2002,2003,2002,22,0.7687061147858074
