@relation allSongsAllFieldsRankClass

@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK_CLASS {1-10, 11-20, 21-30, 31-40, 41-50}

@data
324,98,9,4,11-20
304,125,12,3,41-50
309,102,12,3,21-30
285,81,18,4,1-10
503,231,12,3,31-40
503,231,12,3,11-20
242,84,8,3,1-10
286,133,10,3,1-10
250,48,8,3,11-20
187,75,9,3,31-40
510,98,14,3,1-10
579,112,9,3,11-20
238,61,10,3,1-10
162,64,9,3,1-10
289,22,7,3,1-10
305,116,11,3,31-40
222,70,9,3,1-10
288,98,10,3,21-30
231,92,9,3,31-40
235,122,11,3,31-40
342,84,10,3,41-50
381,97,11,3,1-10
268,102,10,3,1-10
250,87,9,3,1-10
18,18,14,5,21-30
18,18,14,5,1-10
187,94,11,4,41-50
212,82,9,4,11-20
393,147,10,3,1-10
175,102,11,4,41-50
221,74,12,5,11-20
215,93,10,4,21-30
188,140,10,4,21-30
420,103,11,3,31-40
185,87,9,4,11-20
385,165,9,3,21-30
260,134,10,4,31-40
286,135,14,4,21-30
291,125,10,4,11-20
270,80,9,4,41-50
326,158,9,3,11-20
239,101,10,4,11-20
384,176,12,3,1-10
627,181,30,3,1-10
289,87,9,3,21-30
331,105,10,4,21-30
187,92,9,3,31-40
177,87,11,4,11-20
296,99,9,3,21-30
18,18,14,5,1-10
379,109,9,3,11-20
177,66,7,3,11-20
262,77,11,3,1-10
227,107,11,4,1-10
440,120,13,4,1-10
178,79,10,3,21-30
277,87,10,4,31-40
227,106,9,3,1-10
202,112,10,3,31-40
219,106,11,4,11-20
340,112,9,3,1-10
214,82,9,3,1-10
248,87,20,3,31-40
201,96,10,3,1-10
327,127,10,3,31-40
289,87,10,3,11-20
312,87,11,3,11-20
277,106,10,4,41-50
307,103,21,4,1-10
8,4,7,5,21-30
290,94,23,4,1-10
642,130,11,3,41-50
52,30,8,3,1-10
303,82,11,3,1-10
350,109,10,4,21-30
157,93,10,4,11-20
338,118,10,3,21-30
430,68,10,3,1-10
18,18,14,5,1-10
18,18,14,5,11-20
287,109,8,3,1-10
174,73,11,4,41-50
324,123,9,3,31-40
508,173,14,4,21-30
178,75,9,3,11-20
340,112,10,3,41-50
375,135,13,4,31-40
246,93,18,4,1-10
217,45,10,3,21-30
142,56,8,3,41-50
282,125,11,4,31-40
491,107,10,3,11-20
364,115,10,3,21-30
180,40,11,3,11-20
138,70,11,3,41-50
237,108,10,4,41-50
281,122,9,3,41-50
322,83,10,4,41-50
256,103,9,3,1-10
303,105,10,3,21-30
306,103,11,4,21-30
334,161,10,3,41-50
198,71,11,3,11-20
184,88,9,3,31-40
103,57,10,4,11-20
179,109,11,3,41-50
194,72,10,3,1-10
208,90,17,4,1-10
348,121,12,4,41-50
543,187,11,3,41-50
143,56,10,3,11-20
271,77,7,3,21-30
319,125,11,3,31-40
254,86,10,3,11-20
453,83,12,3,11-20
267,81,9,4,41-50
584,156,19,4,21-30
493,265,16,4,21-30
506,111,11,3,1-10
665,225,12,3,1-10
449,79,11,2,21-30
230,87,9,3,1-10
359,172,11,3,21-30
349,103,9,3,1-10
228,76,9,3,41-50
443,156,10,3,1-10
252,106,10,4,31-40
260,111,10,3,21-30
241,72,12,4,31-40
226,77,9,3,41-50
176,93,9,3,31-40
511,117,11,3,11-20
460,167,12,3,11-20
460,167,12,3,21-30
470,172,12,3,21-30
219,105,11,4,41-50
197,76,9,3,1-10
278,95,10,3,1-10
354,146,13,3,21-30
225,62,9,4,21-30
62,17,11,4,31-40
2739,1140,18,4,1-10
286,142,9,3,11-20
213,132,10,3,31-40
189,91,12,4,1-10
260,91,45,5,31-40
205,78,8,3,41-50
570,252,16,4,41-50
570,252,16,4,31-40
266,127,11,3,41-50
535,265,14,3,41-50
288,158,10,4,21-30
249,31,15,3,41-50
1,1,0,0,1-10
429,213,15,4,21-30
730,200,13,3,1-10
386,93,8,4,11-20
604,169,15,3,21-30
356,89,12,4,21-30
207,71,8,3,1-10
478,164,12,4,11-20
405,91,10,4,1-10
418,139,11,4,41-50
405,133,10,4,1-10
249,86,8,3,1-10
430,173,9,3,1-10
733,176,17,3,21-30
18,18,14,5,41-50
303,90,9,3,41-50
163,71,10,3,1-10
749,224,10,3,21-30
321,70,9,3,41-50
398,146,11,4,31-40
679,301,19,4,1-10
490,124,10,3,31-40
185,96,11,3,21-30
188,77,9,3,21-30
323,94,9,3,1-10
535,132,10,3,11-20
278,83,13,3,1-10
297,87,9,3,21-30
294,120,10,3,11-20
192,99,10,3,1-10
239,56,9,4,21-30
250,90,9,3,41-50
255,88,10,3,31-40
353,74,8,3,41-50
277,106,8,3,1-10
301,94,9,3,1-10
163,100,9,4,11-20
355,110,12,3,1-10
899,111,12,3,1-10
388,125,9,3,21-30
388,125,9,3,21-30
285,96,11,4,41-50
311,117,12,3,1-10
386,118,13,3,31-40
371,102,10,3,1-10
278,77,9,3,11-20
1,1,0,0,31-40
1061,267,11,3,21-30
337,92,9,3,11-20
351,140,14,4,11-20
169,95,12,3,31-40
233,86,9,3,31-40
201,92,12,3,1-10
654,275,15,3,41-50
756,205,13,3,11-20
982,181,13,3,21-30
529,224,11,3,21-30
423,147,10,3,1-10
395,81,10,3,1-10
18,18,14,5,41-50
492,258,12,3,11-20
369,90,10,3,41-50
333,116,11,3,21-30
350,98,10,3,11-20
368,128,11,4,41-50
313,149,11,3,21-30
192,77,11,4,41-50
704,243,13,4,31-40
18,18,14,5,1-10
506,233,9,3,21-30
506,233,9,3,21-30
480,115,9,3,1-10
179,51,11,3,1-10
220,92,8,3,31-40
665,258,14,4,31-40
746,324,13,3,41-50
498,85,11,3,1-10
385,114,9,3,1-10
412,96,11,3,31-40
496,144,10,4,1-10
297,96,11,3,21-30
535,79,10,3,1-10
404,99,11,4,41-50
781,240,13,3,21-30
468,107,9,3,1-10
220,120,10,3,41-50
234,83,9,4,1-10
461,109,13,3,11-20
543,231,9,3,41-50
673,246,11,3,11-20
175,89,9,3,1-10
290,160,10,4,21-30
267,92,13,3,11-20
191,109,8,3,41-50
524,161,9,3,1-10
390,182,13,3,41-50
241,106,16,4,31-40
584,259,15,4,11-20
420,100,12,4,1-10
207,119,9,4,21-30
346,135,11,4,11-20
41,15,8,3,41-50
214,140,9,3,31-40
520,182,10,3,1-10
413,150,11,3,1-10
453,111,12,4,1-10
105,74,80,4,1-10
412,105,10,3,21-30
318,104,10,3,21-30
18,18,14,5,31-40
183,69,10,3,21-30
415,56,11,2,1-10
210,60,12,4,1-10
660,194,15,3,11-20
379,185,12,3,41-50
18,18,14,5,11-20
269,110,12,3,41-50
251,83,14,3,21-30
251,80,8,3,1-10
530,156,9,3,1-10
263,96,10,3,31-40
169,105,10,4,21-30
655,255,11,4,41-50
515,86,9,3,11-20
18,18,14,5,1-10
232,83,10,3,41-50
265,103,8,3,41-50
305,75,10,3,41-50
351,134,11,3,41-50
358,102,13,4,11-20
534,160,11,4,11-20
242,88,10,4,1-10
1014,334,13,3,11-20
780,191,11,4,1-10
283,127,11,3,21-30
278,126,11,3,21-30
135,55,10,4,41-50
18,17,14,5,1-10
202,87,10,4,11-20
225,118,12,3,1-10
274,93,10,4,11-20
303,92,11,4,21-30
169,41,11,4,41-50
340,85,9,3,11-20
265,90,14,4,11-20
305,117,11,3,1-10
100,55,12,4,1-10
530,136,11,3,11-20
136,66,10,3,1-10
342,79,8,4,1-10
319,111,11,3,1-10
305,108,10,3,1-10
335,99,9,3,1-10
302,106,8,3,41-50
161,78,10,3,21-30
236,83,10,4,11-20
425,112,11,3,1-10
543,148,13,3,1-10
412,164,11,3,1-10
730,251,12,3,1-10
730,251,12,3,11-20
247,67,9,3,11-20
191,63,15,5,41-50
1148,432,19,4,11-20
1148,432,19,4,1-10
1148,432,19,4,11-20
179,93,10,3,41-50
306,134,39,4,11-20
205,129,11,3,21-30
350,185,13,4,41-50
283,105,14,4,1-10
451,117,10,3,1-10
451,117,10,3,21-30
322,105,11,3,1-10
405,180,20,3,21-30
221,128,10,3,1-10
279,97,12,3,1-10
308,92,11,3,1-10
327,75,9,3,1-10
152,73,11,4,11-20
159,84,13,4,31-40
191,87,11,4,41-50
903,320,13,3,21-30
741,180,13,3,21-30
289,91,11,4,31-40
290,107,13,3,1-10
693,291,14,4,1-10
142,82,17,4,11-20
366,123,12,3,41-50
710,203,10,3,31-40
488,111,9,3,31-40
812,230,11,3,1-10
320,129,9,3,31-40
363,177,13,3,41-50
222,127,13,4,21-30
571,189,11,3,41-50
322,92,10,4,11-20
406,92,11,3,1-10
291,106,10,3,11-20
479,138,11,3,41-50
284,102,12,3,31-40
269,78,8,3,41-50
236,82,10,4,1-10
261,143,10,4,41-50
440,104,10,3,1-10
153,73,11,3,41-50
194,94,9,4,31-40
371,112,8,3,21-30
337,134,11,3,21-30
18,17,14,5,11-20
314,95,10,3,41-50
211,80,9,4,11-20
101,11,6,3,21-30
303,100,10,3,31-40
337,108,9,3,31-40
339,168,11,3,31-40
727,190,12,3,11-20
231,106,10,4,1-10
528,244,10,3,31-40
464,192,16,4,31-40
1,1,0,0,41-50
765,267,12,4,31-40
517,232,11,4,11-20
272,106,16,3,21-30
354,40,18,3,21-30
353,122,13,3,1-10
364,119,9,3,11-20
176,88,11,4,11-20
88,39,7,3,1-10
807,286,13,3,11-20
541,272,12,4,21-30
541,272,12,4,1-10
285,135,12,4,21-30
717,259,11,3,1-10
315,117,12,3,1-10
18,18,14,5,41-50
245,85,10,4,31-40
412,137,10,3,1-10
18,18,14,5,41-50
18,18,14,5,1-10
469,191,11,4,21-30
418,184,11,4,1-10
500,147,12,4,1-10
438,153,16,4,41-50
267,125,13,4,41-50
230,99,11,3,11-20
168,73,19,3,21-30
464,154,10,3,1-10
543,212,12,3,41-50
181,95,12,3,31-40
305,124,10,3,1-10
796,233,13,3,31-40
436,95,9,3,11-20
224,78,9,4,41-50
266,99,11,4,41-50
222,97,9,3,41-50
415,203,13,4,11-20
191,63,11,4,31-40
660,179,14,4,1-10
218,107,10,4,11-20
133,81,10,4,41-50
329,118,10,4,1-10
369,105,9,3,11-20
621,329,12,4,41-50
18,18,14,5,1-10
247,99,11,4,1-10
385,179,10,3,1-10
128,38,9,4,31-40
347,73,10,3,31-40
149,68,9,3,41-50
333,119,16,4,1-10
152,58,11,3,11-20
681,201,11,3,1-10
224,83,11,3,41-50
441,94,10,3,1-10
502,180,11,3,1-10
366,150,11,3,1-10
373,113,10,4,1-10
230,100,10,3,21-30
116,60,7,3,41-50
200,59,8,4,31-40
311,97,9,3,31-40
151,69,10,4,31-40
918,330,13,3,21-30
18,18,14,5,41-50
795,301,13,4,31-40
428,98,10,3,41-50
224,91,12,3,1-10
278,140,9,3,1-10
617,135,11,3,31-40
357,72,9,4,1-10
182,87,11,4,11-20
93,42,9,3,21-30
230,75,10,3,1-10
127,50,8,3,11-20
127,78,11,4,1-10
18,18,14,5,41-50
331,143,9,4,41-50
506,268,13,4,31-40
428,193,11,3,1-10
394,99,11,3,1-10
187,115,18,3,41-50
188,106,27,4,11-20
342,102,10,4,41-50
313,113,10,3,31-40
679,120,41,4,1-10
679,120,41,4,1-10
480,119,13,4,31-40
18,18,14,5,11-20
589,171,12,3,41-50
265,109,8,3,21-30
335,117,18,4,41-50
18,18,14,5,1-10
237,101,10,4,41-50
262,67,8,3,41-50
440,166,27,4,1-10
187,89,15,3,1-10
521,210,26,3,11-20
648,182,10,4,1-10
453,115,11,3,41-50
273,120,9,4,41-50
384,142,11,3,31-40
419,146,11,3,11-20
452,161,13,3,41-50
561,138,12,4,1-10
410,112,10,3,41-50
423,86,9,4,11-20
1365,342,19,4,21-30
1365,342,19,4,21-30
338,92,11,4,1-10
368,177,11,3,41-50
247,113,12,3,1-10
549,144,13,4,41-50
21,19,9,3,1-10
328,118,9,3,1-10
266,106,10,3,31-40
624,300,15,3,21-30
768,196,11,3,11-20
255,105,10,3,31-40
414,198,12,3,11-20
342,175,12,4,21-30
232,124,9,3,11-20
731,190,10,3,1-10
199,111,9,4,11-20
260,79,12,4,1-10
631,224,10,3,11-20
747,237,11,4,31-40
407,184,30,4,11-20
367,106,15,3,21-30
635,282,13,4,21-30
673,215,12,3,21-30
364,116,9,3,1-10
193,81,9,3,21-30
237,113,12,3,41-50
378,122,9,4,11-20
362,121,11,3,1-10
483,134,9,3,41-50
406,157,11,3,11-20
406,157,11,3,11-20
253,83,11,3,31-40
219,132,11,3,21-30
705,296,13,3,41-50
367,150,15,4,31-40
284,94,15,4,11-20
220,71,11,4,11-20
404,178,10,3,41-50
232,113,12,3,21-30
146,92,8,3,1-10
355,129,11,4,21-30
723,206,15,3,1-10
157,60,9,3,11-20
360,118,10,3,21-30
169,91,9,3,1-10
383,105,11,3,41-50
691,177,10,3,11-20
509,172,10,3,41-50
376,120,9,3,41-50
887,208,13,3,21-30
294,62,11,4,1-10
314,122,10,3,1-10
153,80,12,5,1-10
232,85,10,3,11-20
395,108,10,3,11-20
306,78,11,4,1-10
177,66,10,4,41-50
190,87,9,4,1-10
379,76,12,4,1-10
239,88,9,3,31-40
183,60,8,4,21-30
272,89,9,4,1-10
262,94,9,3,11-20
244,86,9,3,11-20
261,72,12,4,1-10
888,261,13,4,1-10
257,94,8,3,1-10
248,96,10,4,31-40
354,168,11,4,41-50
431,81,11,3,1-10
697,252,11,3,21-30
262,83,10,3,31-40
248,82,14,3,31-40
290,99,9,4,21-30
274,124,11,3,41-50
273,138,10,3,1-10
722,220,11,3,1-10
260,90,9,4,41-50
306,99,8,3,1-10
313,104,10,3,1-10
185,76,10,4,31-40
576,284,13,4,41-50
338,113,9,4,21-30
176,60,11,3,11-20
254,93,9,3,11-20
239,76,10,3,1-10
250,80,13,4,1-10
317,153,13,3,11-20
246,95,17,4,21-30
273,114,13,4,21-30
363,163,12,3,21-30
221,103,19,3,1-10
254,98,11,3,1-10
119,77,10,3,31-40
569,155,13,3,31-40
204,91,18,4,41-50
511,194,11,4,1-10
738,220,11,3,31-40
657,254,12,3,31-40
257,109,11,4,11-20
242,89,11,3,21-30
241,92,13,4,1-10
281,79,10,4,1-10
664,190,12,3,1-10
295,88,11,3,11-20
295,88,11,3,11-20
264,84,9,3,41-50
591,163,12,3,1-10
212,83,10,3,21-30
214,67,11,4,31-40
306,105,9,3,11-20
272,104,11,4,1-10
214,138,14,4,1-10
237,96,12,4,1-10
212,53,8,3,31-40
270,98,12,3,41-50
513,262,13,4,1-10
432,158,9,3,1-10
410,136,18,3,31-40
300,126,17,3,41-50
256,103,10,3,31-40
316,110,10,3,41-50
541,164,12,4,11-20
317,87,11,3,11-20
399,203,11,3,1-10
362,157,11,4,21-30
362,157,11,4,21-30
477,167,12,3,1-10
313,106,10,3,41-50
