Song,Year,Complex Narc
All I Do Is Win,2010,3.166666667
All I Have,2003,13.93548387
All I Have To Give,1999,3.9
All I Need,1985,0.648648649
All I Need Is A Miracle,1986,1.807228916
All I Need Is You,1991,0.4
All I Wanna Do,1994,0.6875
All I Wanna Do Is Make Love To You,1990,-6.571428571
All I Want,1997,4.771929825
All I Want,1992,0.259259259
All I Want For Christmas Is You,2013,6.169491525
All I Want To Do,2008,2.205882353
All I Wanted,1987,1.1875
All I'm Missing Is You,1990,7.411764706
All Jacked Up,2005,5.714285714
All Me,2013,5.25
All My Life,2002,-1.5
All My Life,1998,16.52
All My Life,1983,20.57142857
All My Life,1990,10.04651163
All My Love,1998,16.83035714
All Night Long,1999,-4.894736842
All Night Long,1980,-6.4
All Night Long (All Night),1983,0
All Night Thing,1980,0.444444444
All Of Me,2014,20
All Of The Lights,2011,2.863636364
All Of You,1984,2.258064516
All Or Nothing,1990,3.136363636
All Or Nothing,2001,1.805555556
All Our Tomorrows,1982,-9.739130435
All Out Of Love,1980,2.112676056
All Over The World,1980,0
All Right,1983,0
All She Wants Is,1989,0
All She Wants To Do Is Dance,1985,-3.722222222
All Star,1999,0.75
All Summer Long,2008,-14.48275862
All Summer Long,2008,-14.48275862
All Summer Long,2008,-14.48275862
All That Glitters Isn't Gold,1990,0
All That I Can Say,1999,0.558139535
All That Matters,2013,8
All That She Wants,1993,0
All The Above,2009,13.95348837
All The Love In The World,1986,3.12
All The Man That I Need,1991,3.692307692
All The Places (I Will Kiss You),1998,38.14516129
All The Right Moves,2010,-7.142857143
All The Small Things,2000,1.884615385
All The Things (Your Man Won't Do),1996,1.053763441
All The Things She Said,1986,2.526315789
All The Things She Said,2003,12.15686275
All The Way Turnt Up,2010,4
All This Love,1983,13.06818182
All This Time,1991,-1.5
All This Time,1989,0.333333333
All Those Lies,1983,4.565217391
All Those Years Ago,1981,-5.846153846
All Through The Night,1984,-2.866666667
All Time High,1983,0.5
All True Man,1991,1.964912281
All You Wanted,2002,0.475409836
All Your Life,2011,1.666666667
All-American Girl,2008,0.285714286
Allentown,1983,-12
Allergies,1983,4.32
Almost,2005,2.929577465
Almost Doesn't Count,1999,3.272727273
Almost Hear You Sigh,1990,1.652173913
Almost Over You,1984,1.304347826
Almost Paradise,1984,0
Alone,1997,0.8
Alone,1987,2.571428571
Alone With You,2012,5.225
Along Comes A Woman,1985,0
Alphabet St.,1988,0.892307692
Already Gone,2009,-10.32786885
Already Gone,2008,1.176470588
Alright,2009,5.872727273
Alright,1990,18.49056604
Alright,1993,2.545454545
Alright,1993,2.545454545
Always,1987,0.583333333
Always,1994,2.549019608
Always,1994,1.025641026
Always And Forever,1990,8.275862069
Always Be My Baby,1996,13.453125
Always In My Heart,1994,7.339805825
Always On My Mind,1988,5.476190476
Always On My Mind,1982,5.56097561
Always On Time,2002,5.862745098
Always On Your Side,2006,1.295454545
Always Something There To Remind Me,1983,7.051282051
Always The Last To Know,1992,1.583333333
Am I Dreaming,1998,8.29787234
Am I The Only One,2011,3.789473684
Am I The Same Girl,1992,1.2
Am I Wrong,2014,-5.31147541
Amanda,1986,1.322033898
Amazed,2000,7.081967213
Amazing,1994,-1.5
America,1981,-1.5
America,1985,0
American Baby,2005,1.105263158
American Boy,2008,14.95
American Child,2002,1.142857143
American Heartbeat,1982,-4.285714286
American Honey,2010,0.857142857
American Kids,2014,0.357142857
American Life,2003,3.280701754
American Music,1982,0.636363636
American Pie,2000,1.6
American Ride,2009,0
American Soldier,2004,3.342857143
American Storm,1986,-1.682926829
American Woman,1999,4.5
Amnesia,2014,1.476923077
An American Dream,1980,-6.857142857
An Innocent Man,1984,0.36
Anaconda,2014,10.66666667
And I'm Telling You I'm Not Going,1982,2.923076923
And Our Feelings,1994,-34.41666667
And So It Goes,1990,2.24137931
And The Beat Goes On,1980,3.230769231
And We Danced,1985,-21.71052632
Angel,1988,-1.5
Angel,2003,27.77777778
Angel,1993,6
Angel,1985,0.76
Angel,1999,2.181818182
Angel,2001,31.73809524
Angel Baby,1992,1.2
Angel Eyes,2012,0.285714286
Angel Eyes,1989,3.512195122
Angel In Blue,1982,0.4
Angel Of Harlem,1989,0.933333333
Angel Of Mine,1999,9.090909091
Angel Of The Morning,1981,11
Angel Say No,1980,0.333333333
Angelia,1989,3
Angry All The Time,2001,0
Animal,1987,0.393442623
Animal,2010,-2.777777778
Animal Instinct,1985,1.724137931
Animals,2014,3.945454545
Animals,2014,NaN
Anniversary,1993,-16.6
Anonymous,2007,3.716129032
Another Brick In The Wall,1980,0
Another Day In Paradise,1990,6.981481481
Another Dumb Blonde,2000,7.388888889
Another Lover,1988,-5.523809524
Another Night,1986,2.47826087
Another Night,1994,3.616666667
Another One Bites The Dust,1980,-1.5
Another Part Of Me,1988,-1.5
Another Sad Love Song,1993,5.657142857
Another Sleepless Night,1982,-1.368421053
Answering Machine,1980,2.576271186
Antidote,2015,-2.703703704
Any Day Now,1982,4.923076923
Any Love,1988,9.743589744
Any Man Of Mine/ Whose Bed Have Your Boots Been Under,1995,3.555555556
Any Time Any Place/And On And On,1994,1.046511628
Any Way You Want It,1980,-3.157894737
Anyone Can See,1982,2.206896552
Anyone Else,1999,-1.5
Anything,1996,2.610619469
Anything,2002,6.125
Anything,1994,1.595744681
Anything At All,1992,5.333333333
Anything But Down,1999,5.438596491
Anything But Mine,2005,1.818181818
Anything Could Happen,2012,-19.16129032
Anything For You,1988,2.071428571
Anything I Want,1990,4.438356164
Anything Is Possible,1991,3.28358209
Anything Like Me,2010,4.285714286
Anytime You Need A Friend,1994,1.5
Anyway,2007,0
Anywhere,1999,1.904761905
Anywhere With You,2013,0.823529412
Apologize,2007,3.612903226
Applause,2013,1.058823529
Arc Of A Diver,1981,5.333333333
Are U Still Down,1998,4.449438202
Are We Ourselves?,1984,-16.25
Are You Gonna Be My Girl,2004,6.857142857
Are You Gonna Kiss Me Or Not,2011,2.580645161
Are You Happy Now?,2003,7.892857143
Are You Jimmy Ray?,1998,1.694915254
Are You Sure,1988,2
Are You That Somebody?,1998,16
Area Codes,2001,3.555555556
Armageddon It,1989,1.990740741
Around The Way Girl,1991,8.54368932
Around The World (La La La La La),2001,0.833333333
Arthur's Theme,1981,0
As Good As I Once Was,2005,2.732142857
As I Lay Me Down,1995,6.465517241
As Long As You Follow,1989,0.926829268
As Long As You Love Me,2012,8.041237113
As She's Walking Away,2010,2.483870968
As We Lay,1987,-18.3
Ascension (Don't Ever Wonder),1996,4.444444444
Ashes By Now,2001,4.137931034
Ashes By Now,1980,1.956521739
Ask Of You,1995,5.534653465
Ass Back Home,2012,-1.542168675
Ass Back Home,2012,-1.542168675
Aston Martin Music,2011,4.090909091
At The Beginning,1998,-1.555555556
At This Moment,1987,4.693877551
At Your Best (You Are Love),1994,14.52631579
Athena,1982,1.777777778
Atlanta Lady,1981,11.11538462
Atomic,1980,1
Auld Lang Syne,2000,0.510948905
Austin,2001,0.340425532
Automatic,2014,-3.4
Automatic,1984,6.428571429
Automatic Man,1983,0.0625
Ava Adore,1998,4.714285714
Avenues,1997,-14.16666667
Avenues,1997,-14.16666667
Aw Naw,2013,0
Award Tour,1994,5.818181818
Awful Beautiful Life,2005,1.375
Axel F,2005,0.333333333
Axel F,1985,NaN
Ayo,2015,2.057142857
Ayo Technology,2007,7.606382979
B**** Better Have My Money,2015,32.08955224
B.B.D. (I Thought It Was Me)?,1990,1.628571429
B.Y.O.B.,2005,-10.5
Babe,1980,2.978723404
Baby,2002,11.25
Baby,1995,0.823529412
Baby,2011,4.8
Baby,2010,4.8
Baby Baby,1991,3.818181818
Baby Boy,2003,9.52
Baby By Me,2009,5.05785124
Baby Can I Hold You,1988,-1.5
Baby Come And Get It,1985,2.046153846
Baby Don't Forget My Number,1989,2.962962963
Baby Don't Go,2007,6.511627907
Baby Don't Lie,2014,2.173913043
Baby Girl,2005,0.404255319
Baby Got Back,1992,2.178947368
Baby Hold On To Me,1992,14.22222222
Baby I,2013,1.756756757
Baby I Lied,1984,0
Baby I Love Your Way,1994,0.188405797
Baby I'm Back,2005,10.69306931
Baby I'm Yours,1993,8.345454545
Baby It's You,2004,1.542857143
Baby Jane,1983,4.2
Baby Love,1986,0.615384615
Baby Makes Her Blue Jeans Talk,1982,0
Baby Step Back,1982,1.5
Baby Talks Dirty,1980,1.333333333
Baby Come Over (This Is Our Night),2001,2.701754386
Baby Come To Me,1983,7.428571429
Baby I Love Your Way/Freebird Medley,1988,0.803571429
Baby It's Tonight,1990,2.25
Baby-Baby-Baby,1992,8.369230769
Back & Forth,1994,34.88050314
Back 2 Good,1999,-5.846153846
Back 2 Good,1999,-5.846153846
Back And Forth,1987,0
Back At One,2000,6
Back At One,2000,8.85106383
Back For Good,1995,2.894117647
Back Here,2000,2.661290323
Back In Black,1981,NaN
Back In The Day,1994,-1.869918699
Back In The High Life Again,1987,0.708333333
Back In Time,2012,6.157894737
Back On Holiday,1989,0.35
Back On My Feet Again,1980,6.74137931
Back On The Chain Gang,1983,-1.4
Back Seat Of My Jeep/Pink Cookies In A Plastic Bag,1993,9.583333333
Back That Thang Up,1999,6.566037736
Back Then,2005,36.35036496
Back To Back,2015,5.4375
Back To December,2010,8
Back To Life,1989,25.96190476
Back To Paradise,1987,-1.5
Back To The Hotel,1993,3.214285714
Back To The World,1996,7.142857143
Back When,2004,2.234042553
Back Where You Belong,1984,4.794871795
Backfired,1981,3.609375
Backseat,2011,3.391304348
Backwater,1994,0.214285714
Backyard Boogie,1997,1.829268293
Bad,1987,-1.5
Bad,2013,-1.741573034
Bad,2013,-1.741573034
Bad Blood,2015,-1.62295082
Bad Boy,1986,6.666666667
Bad Boy,1983,3.384615385
Bad Boy For Life,2001,-25.06024096
Bad Boy This Bad Boy That,2003,1.836734694
Bad Boys,1993,1.4
Bad Day,2006,2.132352941
Bad Girl,1993,4.296875
Bad Medicine,1988,2.820512821
Bad Of The Heart,1990,6.193548387
Bad Romance,2010,0.890909091
Bad Times,1980,0.628571429
Badd,2005,0.640776699
Bag Lady,2000,0.923076923
Baggage Claim,2011,0.72972973
Bailamos,1999,-1.428571429
Bailando,2014,2.769230769
Ball,2012,3.705882353
Balla Baby,2004,5.721153846
Ballerina Girl,1987,2.5
Bandz A Make Her Dance,2012,0.525
Bang And Blame,1995,6.85106383
Bang Bang,1990,1.764705882
Bang Bang,2014,5.1
Bang Bang Pow Pow,2011,1.963636364
Bang Your Head (Metal Health),1984,-1.676470588
Banned In The U.S.A.,1990,-18.15517241
Barbie Girl,1997,9.333333333
Barefoot Blue Jean Night,2011,-3.111111111
Barely Breathing,1997,0.338983051
Barrel Of A Gun,1997,0
Bartender,2014,4.631578947
Bartender,2007,0.753246753
Batdance,1989,-1.771428571
Battlefield,2009,-14.765625
Be Good To Yourself,1986,1
Be Happy,1994,7.547945205
Be Like That,2001,0
Be Mine Tonight,1982,-1.5
Be My Lady,1982,7.35
Be My Lover,1996,10.33333333
Be Near Me,1985,4.875
Be On You,2009,6.518248175
Be Real,2015,0.837209302
Be Still My Beating Heart,1988,-1.5
Be There,1987,8.720930233
Be With You,1989,1.277777778
Be With You,2000,5.357142857
Be Without You,2006,-3.108433735
Be Yourself,2005,0
Beachin',2014,2
Beamer Benz Or Bentley,2010,12.03191489
Beat It,2008,0
Beat It,1983,-1.5
Beat Of A Heart,1985,0.307692308
Beat Of The Music,2014,3.47826087
Beat Patrol,1987,0.595238095
Beat This Summer,2013,0.282608696
Beat's So Lonely,1986,0
Beautiful,2008,6.06122449
Beautiful,2003,-2.432432432
Beautiful,2009,13.25490196
Beautiful,2003,4.344827586
Beautiful Day,2010,3.166666667
Beautiful Day,2001,2.923076923
Beautiful Girl,1993,4.5
Beautiful Girls,2007,0
Beautiful In My Eyes,1994,7.777777778
Beautiful Liar,2007,0.461538462
Beautiful Life,1995,0.409090909
Beautiful Mess,2002,3.75
Beautiful People,2011,0
Beautiful Soul,2005,2.469135802
Beautiful Stranger,1999,3.5
Beauty And A Beat,2013,0.9
Beauty And The Beast,1992,0
Because I Got High,2001,0.578313253
Because I Love You (The Postman Song),1990,2.8125
Because Of Love,1994,5.327868852
Because Of You,1998,16.84507042
Because Of You,2005,3.895522388
Because Of You,2007,3.184615385
Because Of You,2007,5.260869565
Because Of You,1988,3.1875
