prediction,actual,diff,predSCore,actScore
1997,1992,5,610727.7708469774,16.104809147541637
1998,2014,16,653853.1265215498,209.80107963391765
1997,2012,15,573963.8551544333,0.0
1998,2007,9,543579.2744644539,0.0
2004,1985,19,1777.097839474289,0.0
1997,2010,13,633738.2468743976,45.0
1997,2009,12,387991.4568237506,0.0
1997,2003,6,1198348.043865607,638.3040368971501
2004,1989,15,1777.097839474289,0.0
2004,1999,5,1777.097839474289,0.0
1997,1986,11,170006.11710307075,0.0
1997,1991,6,229537.789516967,103.34034277292243
1997,1998,1,426837.8250688482,355780.39209132455
1997,2009,12,641798.6000878763,24.0
1998,2003,5,560160.4645020642,252.36238539198308
1997,2008,11,522370.58365734195,0.0
1997,1997,0,717511.4313613514,717511.4313613514
1998,1999,1,773464.5938637558,196700.62372308326
1997,1997,0,643358.9184089792,643358.9184089792
1997,1996,1,876834.9529811853,3035.4263954669327
1998,2011,13,662266.1433520446,47.59796064741106
1998,2012,14,181331.16030995193,0.0
1997,2012,15,291081.2913657046,28.0
1998,2011,13,776342.8733997083,312.0
1998,1997,1,111832.8489354182,96195.27486211377
1997,2002,5,622587.6043595644,1230.9937932859002
1998,2008,10,458696.747331997,0.0
1998,2008,10,436102.42755615583,0.0
1998,2014,16,709730.5543270325,0.0
1997,1988,9,305592.32382471295,14.0
1997,1982,15,227491.64799104683,162.0
1997,2004,7,309558.8517468057,103.01516865973714
1997,1981,16,620080.3155660544,0.0
1998,1984,14,24885.31333385348,933.6128896841182
1997,2004,7,1123838.9850405406,2902.3892897673304
1998,1993,5,269096.84935919056,95.13777618519376
1998,2007,9,841774.5287903309,57.37970026283489
1997,1991,6,295457.6160581988,104.14830404281867
1998,1991,7,300336.3245539822,0.0
1997,1992,5,523092.1432621661,0.0
1997,1986,11,237941.62744012452,0.0
1997,1990,7,273363.12156057946,0.0
1998,1984,14,306580.26654111076,18.0
1997,1984,13,226649.06241780045,9.596395719790364
1997,1995,2,203162.35269298186,12.0
1997,1990,7,557656.6685689236,10.0
1997,1986,11,23358.449834193663,0.0
1998,1981,17,148162.97709328812,7.0
1997,2008,11,300365.671851178,0.0
1997,1986,11,1028476.0739985241,0.0
1997,1986,11,1028476.0739985241,0.0
1998,2011,13,451814.15731016576,0.0
1998,1981,17,575325.896406429,0.0
1997,2002,5,273089.74912578677,3.0
1997,1990,7,242705.89833421627,8.0
1997,1984,13,794799.368767665,0.0
1997,2010,13,303300.74806224945,0.0
1997,1998,1,351932.06719934195,298377.96049667825
1998,1989,9,334682.9531873978,0.0
1997,2001,4,556045.351203784,3286.323363137576
1998,1986,12,254976.78081037622,0.0
1997,1982,15,383462.1504011731,0.0
1998,1980,18,274005.72042855195,0.0
1997,1986,11,569436.67591336,0.0
1997,2008,11,577804.7052448677,234.5230003627939
1997,2002,5,366993.32763965253,0.0
1997,2002,5,405567.9849080905,173.36474509631927
1997,1999,2,305221.90634551994,32790.56907833431
1997,1982,15,559056.5681285599,0.0
1998,1988,10,752473.4805009838,40.0
1998,1988,10,752473.4805009838,40.0
1997,1982,15,1050729.5175597374,0.0
1997,2006,9,473498.9853064405,20.0
1998,2000,2,103345.04618051153,2277.5305793341304
1997,2005,8,262005.68819547634,0.0
1997,1998,1,753895.425531255,280382.909389507
1997,1989,8,390156.0556752687,0.0
1997,2014,17,218975.87846530593,0.0
1997,1998,1,618376.8653130324,568677.3295848245
1997,1996,1,444961.4005868179,9345.327850739868
1997,2002,5,350015.18925517827,78.0
1997,2012,15,273754.67043068504,0.0
1997,1985,12,313418.17435787024,0.0
1997,1993,4,222972.0654804929,559.296506121583
1997,2012,15,358294.1255617285,20.0
1997,1981,16,348608.81363049126,0.0
1997,2002,5,588098.9747619266,46.31024970450095
1998,1988,10,466974.36662989185,16.0
1997,2010,13,346601.9123117827,24.41344499457354
1997,1993,4,541342.231469812,15.298046318092286
1997,2001,4,948765.8309276804,4846.188350008244
1997,1997,0,1000106.0113948099,1000106.0113948099
1998,2000,2,600534.6244808175,27389.272125364372
1997,1982,15,284119.3167946682,16.0
1998,2014,16,595295.300856117,65.56429289551167
1998,2006,8,745764.5219353411,262.702182453543
1997,2009,12,311726.7329646255,0.0
1997,1982,15,276751.2330242413,0.0
1997,2000,3,641272.9950995555,49354.4109096119
1998,2004,6,413000.7015767189,23.755792882247647
1997,2010,13,433800.51687106787,0.0
1998,1992,6,423626.6094978927,192.0
1997,1990,7,413115.11053491844,0.0
1997,2005,8,204181.13589836907,3.0
1997,2003,6,1052412.3447754434,4271.958627333968
1997,1994,3,276637.9714146855,463.9627827241783
1997,1992,5,422284.1729294604,0.0
1997,2008,11,578619.2951128857,0.0
1997,2003,6,440403.67338939337,284.6168462172494
