prediction,actual,diff,predSCore,actScore
2010,2010,0,12.67970001,12.67970001
2013,2013,0,12.67970001,12.67970001
1980,1980,0,12.67970001,12.67970001
1986,1986,0,12.67970001,12.67970001
1981,1981,0,12.67970001,12.67970001
1983,1983,0,12.67970001,12.67970001
1986,1986,0,12.67970001,12.67970001
1980,1980,0,12.67970001,12.67970001
1984,1984,0,12.67970001,12.67970001
1981,1981,0,12.67970001,12.67970001
2004,2004,0,12.67970001,12.67970001
2006,2006,0,12.67970001,12.67970001
2013,2013,0,12.67970001,12.67970001
1997,1997,0,12.67970001,12.67970001
1985,1985,0,12.67970001,12.67970001
1989,1989,0,12.67970001,12.67970001
1988,1988,0,12.67970001,12.67970001
1984,1984,0,12.67970001,12.67970001
2012,2012,0,12.67970001,12.67970001
2013,2013,0,12.67970001,12.67970001
2007,2007,0,12.67970001,12.67970001
1984,1984,0,12.67970001,12.67970001
1998,1998,0,12.67970001,12.67970001
2011,2011,0,12.67970001,12.67970001
1984,1984,0,12.67970001,12.67970001
2002,2002,0,12.67970001,12.67970001
1986,1986,0,12.67970001,12.67970001
1983,1983,0,12.67970001,12.67970001
1990,1990,0,12.74378254,12.74378254
2002,2002,0,12.74378254,12.74378254
2008,2008,0,12.74378254,12.74378254
1991,1991,0,12.74378254,12.74378254
1991,1991,0,12.74378254,12.74378254
1991,1991,0,12.74378254,12.74378254
1990,1990,0,12.74378254,12.74378254
1989,1989,0,12.96578428,12.96578428
2014,2014,0,12.96578428,12.96578428
2000,2000,0,12.96578428,12.96578428
2013,2013,0,12.96578428,12.96578428
1997,1997,0,12.96578428,12.96578428
2010,2010,0,12.96578428,12.96578428
1980,1980,0,12.96578428,12.96578428
1995,1995,0,13.04712391,13.04712391
2010,2010,0,13.17695227,13.17695227
2009,2009,0,13.17695227,13.17695227
2007,2007,0,13.17695227,13.17695227
2002,2002,0,13.17695227,13.17695227
1993,1993,0,13.17695227,13.17695227
2009,2009,0,13.17695227,13.17695227
2006,2006,0,13.17695227,13.17695227
2001,2001,0,13.17695227,13.17695227
1988,1988,0,13.28771238,13.28771238
1984,1984,0,13.28771238,13.28771238
1995,1995,0,13.28771238,13.28771238
2007,2007,0,13.28771238,13.28771238
1993,1993,0,13.28771238,13.28771238
1985,1985,0,13.28771238,13.28771238
1987,1987,0,13.28771238,13.28771238
2000,2000,0,13.28771238,13.28771238
1992,1992,0,13.28771238,13.28771238
1997,1997,0,13.28771238,13.28771238
1986,1986,0,13.28771238,13.28771238
2005,2005,0,13.28771238,13.28771238
1982,1982,0,13.28771238,13.28771238
2015,2015,0,13.28771238,13.28771238
1996,1996,0,13.28771238,13.28771238
1988,1988,0,13.28771238,13.28771238
1984,1984,0,13.28771238,13.28771238
2008,2008,0,13.28771238,13.28771238
1985,1985,0,13.28771238,13.28771238
1986,1986,0,13.28771238,13.28771238
1991,1991,0,13.28771238,13.28771238
