stdDev,,stdDev
0,,8.740661099
0,,8.752218766
0,,8.761351273
0,,8.771086626
0,,8.77823284
0,,8.787009643
0,,8.78744284
0,,8.789845795
0,,8.793420507
0,,8.796007772
0,,8.796666954
0,,8.797017818
0,,8.801183633
0,,8.802214911
0,,8.811654294
0,,8.829430069
0,,8.83112509
0,,8.83932702
0,,8.839737122
0,,8.83977646
0,,8.841599812
0,,8.841675553
0,,8.850345156
0,,8.85324575
0,,8.854490954
0,,8.855877595
0,,8.858528977
0,,8.85876704
0,,8.860536733
0,,8.867143395
0,,8.870159672
0,,8.870417603
0,,8.883921291
0,,8.884776558
0,,8.889050632
0,,8.897486268
0,,8.903703533
0,,8.904086945
0,,8.906331836
0,,8.90705356
0,,8.907417168
0,,8.909638682
0,,8.912487444
0,,8.915108898
0,,8.915696893
0,,8.915711056
0,,8.919699253
0,,8.922368175
0,,8.922569733
0,,8.926645602
0,,8.930382555
0,,8.935372402
0,,8.939919395
0,,8.949569747
0,,8.956645487
0,,8.957358853
0,,8.960704427
0,,8.961694203
0,,8.961744243
0,,8.962211044
0,,8.962643506
0,,8.969236588
0,,8.977332386
0,,8.984859218
0,,8.986072832
0,,8.990529487
0,,8.991824757
0,,8.996585849
0,,9.005625252
0,,9.007894926
0,,9.009468448
0,,9.016538508
0,,9.021355777
0,,9.042077486
0,,9.04292976
0,,9.044228324
0,,9.044325826
0,,9.044813048
0,,9.047229081
0,,9.049995712
0,,9.050516622
0,,9.055610211
0,,9.061871847
0,,9.06411241
0,,9.066605325
0,,9.06977877
0,,9.077612626
0,,9.080637338
0,,9.08279378
0,,9.084443292
0,,9.08786475
0,,9.088165588
0,,9.089017077
0,,9.093660535
0,,9.09550773
0,,9.096380501
0,,9.097213763
0,,9.098895482
0,,9.099593016
0,,9.099672629
0,,9.116845649
0,,9.1190086
0,,9.119755185
0,,9.122715299
0,,9.123006116
0,,9.129067273
0,,9.133114548
0,,9.145322213
0,,9.146979797
0,,9.15030825
0,,9.152014962
0,,9.154242554
0,,9.157092139
0,,9.161885703
0,,9.162270367
0,,9.168203748
0,,9.169974535
0,,9.175440815
0,,9.179305122
0,,9.182493225
0,,9.182986319
0,,9.184390985
0,,9.191004513
0,,9.191912444
0,,9.195522996
0,,9.200211684
0,,9.200302692
0,,9.201289509
0,,9.202033436
0,,9.202235986
0,,9.2036494
0,,9.205660544
0,,9.207912187
0,,9.212385124
0,,9.213768834
0,,9.216245938
0,,9.218095912
0,,9.220067346
0,,9.222587407
0,,9.224164625
0,,9.235607326
0,,9.237197646
0,,9.238141222
0,,9.241479697
0,,9.244527588
0,,9.244933459
0,,9.245887605
0,,9.246367458
0,,9.247470431
0,,9.252069891
0,,9.25976514
0,,9.261888073
0,,9.262941691
0,,9.265656159
0,,9.267066403
0,,9.268576884
0,,9.270031716
0,,9.272323867
0,,9.273055862
0,,9.274902895
0,,9.277307333
0,,9.279856131
0,,9.286971579
0,,9.287262342
0,,9.29474142
0,,9.297471983
0,,9.29795714
0,,9.299750725
0,,9.300556562
0,,9.302325899
0,,9.302605094
0,,9.303484616
0,,9.307348855
0,,9.31100507
0,,9.311798477
0,,9.314867069
0,,9.320181258
0,,9.322553298
0,,9.325724595
0,,9.326797494
0,,9.326921526
0,,9.327649425
0,,9.329146891
0,,9.331687815
0,,9.33434293
0,,9.335249754
0,,9.33566029
0,,9.340111937
0,,9.340604151
0,,9.341228903
0,,9.343424468
0,,9.344861435
0,,9.345598952
0,,9.345625474
0,,9.345834006
0,,9.346094017
0,,9.347989862
0,,9.352827353
0,,9.356908734
0,,9.361018717
0,,9.364614579
0,,9.366265828
0,,9.366875637
0,,9.371873932
0,,9.373277211
0,,9.373376557
0,,9.373502536
0,,9.374403923
0,,9.376757995
0,,9.380733179
0,,9.384311461
0,,9.38598663
0,,9.388752397
0,,9.390134314
0,,9.390766022
0,,9.400460818
0,,9.401257913
0,,9.401707988
0,,9.403905633
0,,9.406279161
0,,9.407570769
0,,9.411253954
0,,9.413708366
0,,9.413891242
0,,9.417621943
0,,9.419032503
0,,9.424937834
0,,9.425675343
0,,9.432182107
0,,9.432268523
0,,9.433442461
0,,9.433819766
0,,9.435165922
0,,9.438198174
0,,9.43912535
0,,9.439571959
0,,9.439818924
0,,9.442321352
0,,9.442680262
0,,9.44335426
0,,9.447122702
0,,9.448813024
0,,9.448884456
0,,9.452544203
0,,9.452592865
0,,9.453368947
0,,9.456374119
0,,9.456716152
0,,9.457303127
0,,9.459688911
0,,9.459872063
0,,9.462674138
0,,9.462976531
0,,9.463357236
0,,9.463692732
0,,9.466002127
0,,9.467254563
0,,9.468693347
0,,9.469939334
0,,9.471560883
0,,9.476209638
0,,9.47829351
0,,9.479315679
0,,9.480963312
0,,9.481498755
0,,9.487557771
0,,9.489862099
0,,9.491179868
0,,9.492503223
0,,9.496037369
0,,9.496301407
0,,9.497030001
0,,9.499713351
0,,9.50070986
0,,9.501041878
0,,9.503474552
0,,9.504299768
0,,9.506117689
0,,9.508939216
0,,9.509939721
0,,9.511371976
0,,9.511437206
0,,9.512075153
0,,9.513445347
0,,9.514319002
0,,9.514991957
0,,9.51662548
0,,9.517188729
0,,9.519429101
0,,9.520275117
0,,9.521376813
0,,9.521648162
0,,9.52210027
0,,9.523942432
