@relation allSongsAllFields

@attribute NUM_WORDS real
@attribute NUM_UNIQUE_WORDS real
@attribute MAX_WORD_LENGTH real
@attribute AVG_WORD_LENGTH real
@attribute SONG_RANK real

@data
349,103,9,3,6
228,76,9,3,43
443,156,10,3,6
252,106,10,4,32
260,111,10,3,23
241,72,12,4,36
226,77,9,3,45
176,93,9,3,37
511,117,11,3,19
460,167,12,3,12
460,167,12,3,26
470,172,12,3,30
219,105,11,4,45
197,76,9,3,1
278,95,10,3,6
354,146,13,3,28
225,62,9,4,27
62,17,11,4,39
2739,1140,18,4,7
286,142,9,3,18
213,132,10,3,35
189,91,12,4,5
260,91,45,5,34
205,78,8,3,42
570,252,16,4,46
570,252,16,4,35
266,127,11,3,45
535,265,14,3,47
288,158,10,4,30
249,31,15,3,50
1,1,0,0,3
429,213,15,4,21
730,200,13,3,5
386,93,8,4,15
604,169,15,3,26
356,89,12,4,27
207,71,8,3,6
478,164,12,4,15
405,91,10,4,4
418,139,11,4,47
405,133,10,4,5
249,86,8,3,1
430,173,9,3,1
733,176,17,3,28
18,18,14,5,48
303,90,9,3,44
163,71,10,3,1
749,224,10,3,23
321,70,9,3,46
398,146,11,4,38
679,301,19,4,1
490,124,10,3,37
185,96,11,3,21
188,77,9,3,26
323,94,9,3,6
535,132,10,3,19
278,83,13,3,10
297,87,9,3,22
294,120,10,3,14
192,99,10,3,10
239,56,9,4,25
250,90,9,3,50
255,88,10,3,38
353,74,8,3,49
277,106,8,3,1
301,94,9,3,1
163,100,9,4,16
355,110,12,3,2
899,111,12,3,5
388,125,9,3,24
388,125,9,3,26
285,96,11,4,50
311,117,12,3,2
386,118,13,3,36
371,102,10,3,7
278,77,9,3,13
1,1,0,0,37
1061,267,11,3,26
337,92,9,3,13
351,140,14,4,11
169,95,12,3,34
233,86,9,3,33
201,92,12,3,5
654,275,15,3,42
756,205,13,3,19
982,181,13,3,22
529,224,11,3,21
423,147,10,3,6
395,81,10,3,4
18,18,14,5,41
492,258,12,3,14
369,90,10,3,47
333,116,11,3,30
350,98,10,3,20
368,128,11,4,43
313,149,11,3,26
192,77,11,4,47
704,243,13,4,37
18,18,14,5,1
506,233,9,3,25
506,233,9,3,21
480,115,9,3,1
179,51,11,3,8
220,92,8,3,35
665,258,14,4,33
746,324,13,3,50
498,85,11,3,8
385,114,9,3,1
412,96,11,3,36
496,144,10,4,1
297,96,11,3,25
535,79,10,3,2
404,99,11,4,47
781,240,13,3,29
468,107,9,3,6
220,120,10,3,44
234,83,9,4,1
461,109,13,3,12
543,231,9,3,50
673,246,11,3,20
175,89,9,3,7
290,160,10,4,29
267,92,13,3,19
191,109,8,3,49
524,161,9,3,3
390,182,13,3,48
241,106,16,4,31
584,259,15,4,20
420,100,12,4,7
207,119,9,4,21
346,135,11,4,16
41,15,8,3,47
214,140,9,3,31
520,182,10,3,5
413,150,11,3,1
453,111,12,4,10
105,74,80,4,9
412,105,10,3,29
318,104,10,3,24
18,18,14,5,35
183,69,10,3,28
415,56,11,2,6
210,60,12,4,9
660,194,15,3,19
379,185,12,3,43
18,18,14,5,15
269,110,12,3,42
251,83,14,3,30
251,80,8,3,1
530,156,9,3,3
263,96,10,3,32
169,105,10,4,26
655,255,11,4,49
515,86,9,3,19
18,18,14,5,1
232,83,10,3,41
265,103,8,3,44
305,75,10,3,46
351,134,11,3,46
358,102,13,4,17
534,160,11,4,19
242,88,10,4,2
1014,334,13,3,17
780,191,11,4,6
283,127,11,3,24
278,126,11,3,21
135,55,10,4,46
18,17,14,5,1
202,87,10,4,19
225,118,12,3,3
274,93,10,4,15
303,92,11,4,28
169,41,11,4,43
340,85,9,3,16
265,90,14,4,19
305,117,11,3,5
100,55,12,4,9
530,136,11,3,13
136,66,10,3,1
342,79,8,4,10
319,111,11,3,3
305,108,10,3,7
335,99,9,3,2
302,106,8,3,50
161,78,10,3,27
236,83,10,4,11
425,112,11,3,1
543,148,13,3,5
412,164,11,3,10
730,251,12,3,2
730,251,12,3,14
247,67,9,3,17
191,63,15,5,42
1148,432,19,4,14
1148,432,19,4,4
1148,432,19,4,16
179,93,10,3,44
306,134,39,4,13
205,129,11,3,22
350,185,13,4,48
283,105,14,4,8
451,117,10,3,7
451,117,10,3,23
322,105,11,3,7
405,180,20,3,27
221,128,10,3,7
279,97,12,3,6
308,92,11,3,2
327,75,9,3,1
152,73,11,4,13
159,84,13,4,31
191,87,11,4,48
903,320,13,3,26
741,180,13,3,30
289,91,11,4,34
290,107,13,3,1
693,291,14,4,3
142,82,17,4,11
366,123,12,3,46
710,203,10,3,35
488,111,9,3,34
812,230,11,3,2
320,129,9,3,33
363,177,13,3,49
222,127,13,4,27
571,189,11,3,50
322,92,10,4,18
406,92,11,3,2
291,106,10,3,16
479,138,11,3,46
284,102,12,3,36
269,78,8,3,49
236,82,10,4,1
261,143,10,4,46
440,104,10,3,5
153,73,11,3,42
194,94,9,4,36
371,112,8,3,25
337,134,11,3,28
18,17,14,5,11
314,95,10,3,44
211,80,9,4,12
101,11,6,3,27
303,100,10,3,31
337,108,9,3,36
